date,country,H,I,S,D,M
2021-12-09,Japan,8,3,0,26,88
2021-12-10,Japan,12,5,0,26,82
2021-12-11,Japan,7,9,1,26,82
2021-12-12,Japan,7,11,3,26,78
2021-12-13,Japan,5,14,3,26,77
2021-12-14,Japan,8,13,4,26,74
2021-12-15,Japan,8,10,6,26,75
2021-12-16,Japan,7,8,8,26,76
2021-12-17,Japan,5,8,9,26,77
2021-12-18,Japan,3,9,9,26,78
2021-12-19,Japan,1,9,9,26,80
2021-12-20,Japan,4,7,11,26,77
2021-12-21,Japan,9,5,13,26,72
2021-12-22,Japan,12,6,13,26,68
2021-12-23,Japan,9,12,14,26,64
2021-12-24,Japan,7,17,14,26,61
2021-12-25,Japan,9,18,13,26,59
2021-12-26,Japan,10,17,13,26,59
2021-12-27,Japan,13,12,18,26,56
2021-12-28,Japan,9,12,20,27,57
2021-12-29,Japan,7,12,20,28,58
2021-12-30,Japan,7,12,19,30,57
2021-12-31,Japan,6,11,19,30,59
2022-01-01,Japan,4,8,21,30,62
2022-01-02,Japan,4,6,22,30,63
2022-01-03,Japan,4,6,22,30,63
2022-01-04,Japan,7,6,21,30,61
2022-01-05,Japan,12,4,22,30,57
2022-01-06,Japan,10,9,21,30,55
2022-01-07,Japan,8,10,22,30,55
2022-01-08,Japan,7,11,23,30,54
2022-01-09,Japan,6,13,21,30,55
2022-01-10,Japan,5,9,19,31,61
2022-01-11,Japan,5,7,17,31,65
2022-01-12,Japan,3,6,17,32,67
2022-01-13,Japan,4,5,18,32,66
2022-01-14,Japan,3,6,17,32,67
2022-01-15,Japan,4,5,15,33,68
2022-01-16,Japan,5,3,14,33,70
2022-01-17,Japan,3,4,12,34,72
2022-01-18,Japan,3,2,12,35,73
2022-01-19,Japan,2,3,11,35,74
2022-01-20,Japan,2,3,11,35,74
2022-01-21,Japan,2,1,12,36,74
2022-01-22,Japan,1,2,11,37,74
2022-01-23,Japan,2,1,12,37,73
2022-01-24,Japan,1,2,9,38,75
2022-01-25,Japan,1,2,8,39,75
2022-01-26,Japan,0,2,7,39,77
2022-01-27,Japan,1,2,5,39,78
2022-01-28,Japan,1,1,6,39,78
2022-01-29,Japan,2,1,6,39,77
2022-01-30,Japan,2,0,7,39,77
2022-01-31,Japan,2,0,7,39,77
2022-02-01,Japan,2,0,6,40,77
2022-02-02,Japan,2,0,6,40,77
2022-02-03,Japan,2,0,6,40,77
2022-02-04,Japan,0,2,4,41,78
2022-02-05,Japan,0,2,4,41,78
2022-02-06,Japan,1,2,3,41,78
2022-02-07,Japan,1,2,3,41,78
2022-02-08,Japan,1,0,4,41,79
2022-02-09,Japan,1,0,3,41,80
2022-02-10,Japan,1,0,3,41,80
2022-02-11,Japan,1,0,2,41,81
2022-02-12,Japan,1,0,2,41,81
2022-02-13,Japan,0,1,1,41,82
2022-02-14,Japan,0,1,1,41,82
2022-02-15,Japan,0,1,1,41,82
2022-02-16,Japan,0,1,1,41,82
2022-02-17,Japan,0,0,1,41,83
2022-02-18,Japan,0,0,1,41,83
2022-02-19,Japan,0,0,1,41,83
2022-02-20,Japan,0,0,1,41,83
2022-02-21,Japan,0,0,1,41,83
2022-02-22,Japan,0,0,0,41,84
2022-02-23,Japan,0,0,0,41,84
2022-02-24,Japan,0,0,0,41,84
2022-02-25,Japan,0,0,0,41,84
2022-02-26,Japan,0,0,0,41,84
2022-02-27,Japan,0,0,0,41,84
2022-02-28,Japan,0,0,0,41,84
2022-03-01,Japan,0,0,0,41,84
2022-03-02,Japan,0,0,0,41,84
2022-03-03,Japan,0,0,0,41,84
2022-03-04,Japan,0,0,0,41,84
2022-03-05,Japan,0,0,0,41,84
2022-03-06,Japan,0,0,0,41,84
2022-03-07,Japan,0,0,0,41,84
2022-03-08,Japan,0,0,0,41,84
2022-03-09,Japan,0,0,0,41,84
2022-03-10,Japan,0,0,0,41,84
2022-03-11,Japan,0,0,0,41,84
2022-03-12,Japan,0,0,0,41,84
2022-03-13,Japan,0,0,0,41,84
2022-03-14,Japan,0,0,0,41,84
2022-03-15,Japan,0,0,0,41,84
2022-03-16,Japan,0,0,0,41,84
2022-03-17,Japan,0,0,0,41,84
2022-03-18,Japan,0,0,0,41,84
2022-03-19,Japan,0,0,0,41,84
2022-03-20,Japan,0,0,0,41,84
2022-03-21,Japan,0,0,0,41,84
2022-03-22,Japan,0,0,0,41,84
2022-03-23,Japan,0,0,0,41,84
2022-03-24,Japan,0,0,0,41,84
2022-03-25,Japan,0,0,0,41,84
2022-03-26,Japan,0,0,0,41,84
2022-03-27,Japan,0,0,0,41,84
2022-03-28,Japan,0,0,0,41,84
2022-03-29,Japan,0,0,0,41,84
2022-03-30,Japan,0,0,0,41,84
2022-03-31,Japan,0,0,0,41,84
2022-04-01,Japan,0,0,0,41,84
2022-04-02,Japan,0,0,0,41,84
2022-04-03,Japan,0,0,0,41,84
2022-04-04,Japan,0,0,0,41,84
2022-04-05,Japan,0,0,0,41,84
2022-04-06,Japan,0,0,0,41,84
2022-04-07,Japan,0,0,0,41,84
2022-04-08,Japan,0,0,0,41,84
2022-04-09,Japan,0,0,0,41,84
2022-04-10,Japan,0,0,0,41,84
2022-04-11,Japan,0,0,0,41,84
2022-04-12,Japan,0,0,0,41,84
2022-04-13,Japan,1,0,0,41,83
2022-04-14,Japan,4,0,0,41,80
2022-04-15,Japan,5,1,0,41,78
2022-04-16,Japan,7,1,0,41,76
2022-04-17,Japan,6,3,0,41,75
2022-04-18,Japan,5,6,0,41,73
2022-04-19,Japan,4,6,1,41,73
2022-04-20,Japan,5,6,1,41,72
2022-04-21,Japan,6,5,1,41,72
2022-04-22,Japan,4,5,2,41,73
2022-04-23,Japan,2,6,3,41,73
2022-04-24,Japan,3,7,3,41,71
2022-04-25,Japan,6,6,4,41,68
2022-04-26,Japan,8,4,6,41,66
2022-04-27,Japan,7,5,7,41,65
2022-04-28,Japan,6,6,8,41,64
2022-04-29,Japan,5,8,8,41,63
